Rank,Team,2025,Last 3,Last 1,Home,Away,2024
318,Monmouth,-8.0,-7.3,-1.0,-1.0,-10.3,-2.3
318,Mt St Mary's,-8.0,-11.3,-19.0,-3.0,-9.0,+0.2
321,Alabama St,-8.2,-8.7,-24.0,--,-8.2,+0.4
321,S Carolina St,-8.2,-3.0,+8.0,-3.0,-9.2,+0.2
323,Kansas City,-8.2,-7.7,-6.0,-9.0,-8.0,-0.7
324,Missouri St,-8.3,-6.3,-19.0,-8.0,-9.0,-1.7
324,E Illinois,-8.3,-12.0,-18.0,-1.0,-10.7,-4.2
326,VMI,-8.3,-11.0,-10.0,0.0,-10.0,-1.8
327,Southern,-8.5,-9.0,-7.0,--,-8.5,-1.3
328,Bucknell,-8.6,-15.7,+6.0,-5.5,-9.8,+0.9
329,Evansville,-8.7,-12.0,-8.0,-2.0,-12.0,-2.0
329,UTEP,-8.7,-8.7,+1.0,-17.0,-4.5,-1.7
331,Little Rock,-8.8,-1.3,-7.0,--,-8.8,+2.8
332,Chicago St,-8.8,-10.7,-23.0,-4.0,-9.8,-7.8
332,W Illinois,-8.8,-11.0,-15.0,-13.5,-6.5,-2.0
332,Bryant,-8.8,-14.0,-7.0,+9.0,-12.4,+1.7
335,Dartmouth,-9.0,-9.0,-4.0,-9.0,-9.0,-0.4
335,The Citadel,-9.0,-7.0,-8.0,-10.5,-7.5,-3.8
337,Coppin St,-9.6,-11.0,-17.0,--,-9.6,-4.9
338,NC Central,-9.6,-8.7,+5.0,--,-9.6,-2.3
339,Albany,-9.8,-7.0,+5.0,--,-9.8,+0.1
340,N Alabama,-9.8,-7.7,-7.0,-11.0,-9.0,+2.2
341,Louisiana,-10.0,-13.3,-14.0,-6.5,-11.4,-4.8
342,W Georgia,-10.2,-5.7,-17.0,+2.0,-16.3,-5.9
343,Maryland ES,-10.3,-1.7,-2.0,--,-10.3,-6.7
344,Radford,-10.4,-9.0,-9.0,-2.5,-13.6,-2.4
345,Army,-10.6,-8.3,-5.0,-27.0,+0.3,-2.8
346,Oral Roberts,-10.8,-9.7,-3.0,-12.5,-9.7,-5.8
347,UL Monroe,-11.0,-10.0,-21.0,0.0,-13.2,-3.7
347,Florida Intl,-11.0,-11.0,-12.0,-12.0,-10.5,-1.5
347,Florida A&M,-11.0,-7.7,-8.0,-6.0,-12.7,-1.6
350,F Dickinson,-11.2,-14.3,-19.0,-19.0,-9.3,-1.8
351,Delaware,-11.3,-14.3,-11.0,-12.0,-11.0,-3.1
352,Georgia St,-11.4,-14.3,-13.0,-12.0,-11.3,-3.8
353,C Arkansas,-11.6,-6.0,+9.0,-1.0,-18.7,-3.0
354,Delaware St,-12.0,-11.0,-25.0,--,-12.0,-0.3
355,Texas So,-12.2,+1.3,-8.0,+5.0,-16.5,+0.6
356,Detroit Mercy,-13.0,-14.3,-12.0,-19.0,-11.8,-3.9
357,UMass Lowell,-14.0,-12.0,+3.0,-13.0,-14.2,+0.8
357,Alcorn St,-14.0,-13.3,-17.0,--,-14.0,-2.0
359,S Utah,-14.8,-17.0,-10.0,-18.0,-14.0,-1.7
360,N Florida,-15.2,-14.7,-15.0,--,-15.2,-2.7
361,AR-Pine Bluff,-15.6,-21.3,-7.0,--,-15.6,-7.7
362,St Francis PA,-17.2,-11.3,-29.0,+1.0,-21.8,-3.5
363,Jackson St,-18.3,-19.7,-18.0,-18.0,-18.4,-2.1
364,Rider,-20.8,-19.7,-24.0,--,-20.8,-1.4
365,New Hampshire,-22.0,-21.7,-25.0,--,-22.0,-6.4
