Rank,Team,2025,Last 3,Last 1,Home,Away,2024
244,Radford,33.3,30.0,38.0,31.5,34.0,34.4
245,Prairie View,33.2,32.7,32.0,--,33.2,32.2
245,Charlotte,33.2,29.3,37.0,32.3,34.5,32.6
247,Furman,33.0,30.7,45.0,34.0,32.0,34.7
247,Jacksonville St,33.0,33.0,32.0,33.5,32.0,32.9
247,Lamar,33.0,31.3,31.0,--,33.0,31.7
247,E Washington,33.0,34.3,27.0,--,33.0,32.9
247,Texas So,33.0,34.0,33.0,39.0,31.5,30.9
247,SIU Edward,33.0,32.0,28.0,32.0,33.2,34.5
247,W Michigan,33.0,33.3,38.0,34.0,32.0,33.9
254,UC Davis,32.8,35.0,33.0,31.0,34.7,30.7
254,CS Fullerton,32.8,36.0,33.0,24.0,34.6,28.6
256,Austin Peay,32.8,32.0,40.0,--,32.8,31.8
257,Abl Christian,32.8,31.3,39.0,37.0,31.3,33.2
257,San Jose St,32.8,31.0,42.0,42.0,29.7,32.4
259,Alabama A&M,32.7,32.7,34.0,38.0,22.0,30.9
259,Loyola Mymt,32.7,30.7,34.0,32.3,33.0,33.1
261,Manhattan,32.6,30.7,27.0,--,32.6,34.5
261,UT Martin,32.6,30.0,22.0,--,32.6,33.0
261,Jacksonville,32.6,30.3,30.0,--,32.6,33.6
261,CS Bakersfield,32.6,33.0,39.0,38.5,28.7,33.0
265,Alcorn St,32.6,33.3,33.0,--,32.6,30.4
266,E Michigan,32.5,31.0,17.0,38.7,26.3,32.9
267,Bellarmine,32.4,34.3,35.0,38.0,31.0,33.7
267,Morehead St,32.4,29.7,38.0,--,32.4,29.4
269,Rice,32.3,35.0,41.0,31.7,33.0,33.2
269,W Illinois,32.3,33.0,35.0,35.5,30.8,30.1
271,Vermont,32.3,35.0,32.0,--,32.3,31.3
272,Wagner,32.2,30.0,27.0,--,32.2,25.7
272,Montana,32.2,29.7,21.0,29.0,34.3,36.1
274,New Mexico,32.2,30.7,40.0,33.7,30.7,37.1
275,S Alabama,32.0,28.0,26.0,34.0,31.6,33.5
275,Saint Peter's,32.0,31.3,36.0,37.0,28.7,31.2
275,Boston U,32.0,28.7,32.0,41.0,27.5,28.9
275,Detroit Mercy,32.0,31.0,29.0,39.0,30.6,29.3
275,S Indiana,32.0,32.3,27.0,37.0,30.8,32.4
275,Tennessee St,32.0,32.0,21.0,--,32.0,35.5
281,Bucknell,31.9,24.7,24.0,37.5,29.6,33.3
282,Loyola Chi,31.8,31.3,37.0,33.8,28.0,34.9
282,Princeton,31.8,31.3,34.0,37.0,29.3,33.7
282,Harvard,31.8,32.0,35.0,29.5,33.0,33.5
285,Chattanooga,31.8,30.0,33.0,33.0,31.5,36.6
286,Incarnate Word,31.8,33.3,40.0,--,31.8,33.3
286,UMBC,31.8,30.0,17.0,28.0,33.0,36.1
286,San Diego,31.8,34.0,29.0,31.8,--,32.1
289,Indiana St,31.6,29.7,27.0,28.5,33.7,36.8
290,Oregon St,31.4,31.0,31.0,31.0,31.8,35.2
291,Grambling,31.3,28.0,36.0,42.0,29.2,30.3
292,Sacramento St,31.2,25.7,33.0,35.0,28.7,29.8
292,Morgan St,31.2,29.3,26.0,36.0,28.0,33.5
294,Northeastern,31.0,31.3,41.0,32.0,30.5,33.6
294,Purdue FW,31.0,32.7,29.0,--,31.0,36.9
294,Hofstra,31.0,30.7,31.0,--,31.0,30.2
297,Merrimack,30.8,33.0,17.0,34.0,30.2,31.8
297,Utah Tech,30.8,31.0,21.0,--,30.8,31.3
299,Fordham,30.8,32.3,38.0,30.0,33.0,33.6
300,Portland St,30.7,30.7,42.0,42.0,25.0,33.0
301,Little Rock,30.6,28.7,26.0,--,30.6,30.9
302,App State,30.5,31.3,23.0,30.3,30.7,31.9
303,UT Arlington,30.4,33.0,33.0,34.0,29.5,32.4
304,NJIT,30.3,27.3,28.0,32.0,29.6,29.9
305,Drake,30.3,31.0,28.0,32.5,28.0,33.1
306,W Carolina,30.2,34.0,23.0,39.5,24.0,31.4
307,Brown,30.1,34.0,33.0,28.8,32.0,35.5
308,New Hampshire,30.0,34.7,31.0,--,30.0,30.5
308,NW State,30.0,31.7,31.0,--,30.0,29.7
308,Holy Cross,30.0,30.7,39.0,39.0,28.5,31.7
308,Loyola MD,30.0,29.3,20.0,27.0,30.6,33.0
312,AR-Pine Bluff,29.9,33.0,36.0,--,29.9,32.4
313,Evansville,29.8,31.7,29.0,31.0,29.3,30.3
314,Lehigh,29.8,35.3,29.0,36.0,25.7,30.8
314,Lafayette,29.8,30.0,25.0,40.0,27.3,30.9
316,UC Irvine,29.8,31.0,25.0,30.7,27.0,34.9
317,Mercyhurst,29.7,31.3,23.0,42.0,27.2,31.2
317,Maine,29.7,28.7,23.0,29.5,29.8,31.7
319,SC Upstate,29.6,31.7,28.0,41.0,26.8,35.6
320,Lindenwood,29.5,30.7,42.0,42.0,27.0,31.6
320,Tenn Tech,29.5,30.0,41.0,27.0,30.3,34.0
320,UTSA,29.5,29.7,26.0,29.0,29.7,33.7
323,Ball St,29.3,29.7,28.0,31.5,27.0,35.2
324,Long Beach St,29.2,33.7,37.0,35.5,25.0,30.4
324,Georgia St,29.2,31.0,19.0,35.0,27.8,35.8
326,S Carolina St,29.2,31.7,35.0,23.0,30.4,37.6
327,Green Bay,29.1,32.0,33.0,--,29.1,32.7
328,Lipscomb,28.8,27.7,34.0,34.0,27.5,35.2
328,Norfolk St,28.8,26.3,23.0,33.5,25.7,35.0
330,SE Louisiana,28.8,28.7,35.0,--,28.8,34.2
331,Valparaiso,28.6,28.7,39.0,26.0,32.5,33.8
332,Stonehill,28.5,33.0,34.0,34.0,27.4,31.2
332,Albany,28.5,31.0,31.0,--,28.5,34.0
334,Hampton,28.3,28.3,30.0,--,28.3,31.7
335,F Dickinson,28.2,31.0,38.0,38.0,25.8,31.6
336,Chicago St,28.0,25.7,24.0,29.0,27.8,27.7
336,Army,28.0,27.0,22.0,30.5,26.3,32.8
338,Idaho St,27.8,25.7,22.0,--,27.8,33.9
338,Marist,27.8,30.7,28.0,26.0,29.5,29.9
340,Towson,27.4,27.7,25.0,22.0,28.8,32.4
341,Niagara,27.3,29.3,37.0,34.0,26.0,30.4
341,Jackson St,27.3,25.0,32.0,32.0,26.4,32.4
343,Coppin St,27.3,28.3,28.0,--,27.3,27.1
344,Texas A&M-CC,27.3,27.0,35.0,--,27.3,35.1
344,Florida A&M,27.3,25.3,22.0,34.0,25.0,29.9
344,Rider,27.3,25.7,25.0,--,27.3,32.0
347,N Texas,27.2,24.7,28.0,28.0,26.7,30.4
348,Hou Christian,27.0,27.0,33.0,33.0,21.0,31.0
348,UTEP,27.0,27.0,23.0,38.0,21.5,33.6
350,Canisius,26.8,22.3,24.0,27.3,26.3,30.2
351,Gardner-Webb,26.2,27.0,30.0,--,26.2,35.4
352,Howard,25.8,22.7,18.0,29.0,22.7,34.5
352,Bryant,25.8,25.0,21.0,27.0,25.6,38.7
354,Miss Valley St,25.7,28.7,22.0,--,25.7,23.0
354,Binghamton,25.7,26.3,26.0,25.0,25.8,31.6
354,Louisiana Tech,25.7,25.7,25.0,34.0,21.5,32.3
357,New Haven,25.2,29.3,28.0,23.0,27.3,--
358,Presbyterian,25.1,29.0,22.0,21.0,26.8,32.7
359,Louisiana,25.0,22.0,26.0,32.0,22.2,30.4
360,Maryland ES,24.9,32.3,36.0,--,24.9,28.5
361,E Illinois,24.3,24.0,19.0,25.0,24.0,29.0
362,Nicholls,24.2,30.0,32.0,--,24.2,33.0
363,E Texas A&M,23.3,26.3,24.0,--,23.3,29.4
364,NC Central,22.6,20.7,20.0,--,22.6,33.5
365,Delaware St,22.2,22.3,19.0,--,22.2,33.5
