Rank,Team,2025,Last 3,Last 1,Home,Away,2024
188,UT Arlington,39.6,43.7,46.0,24.0,43.5,39.0
188,NC State,39.6,40.3,50.0,37.0,50.0,37.3
190,Valparaiso,39.8,37.3,48.0,34.0,48.5,38.8
191,Le Moyne,40.0,41.0,41.0,38.5,41.0,42.2
191,Navy,40.0,37.0,34.0,42.5,38.3,38.3
191,Liberty,40.0,40.0,41.0,39.5,41.0,35.6
191,Yale,40.0,41.3,57.0,43.5,38.6,38.4
195,UMass,40.1,40.0,34.0,40.3,40.0,38.4
195,Illinois,40.1,43.3,42.0,38.7,49.0,39.8
197,C Michigan,40.2,40.0,44.0,43.0,38.8,39.6
198,Temple,40.2,43.0,44.0,39.3,44.0,40.5
199,New Mexico,40.3,43.0,39.0,37.7,43.0,37.0
199,Nebraska,40.3,48.3,50.0,32.3,48.3,37.2
199,Toledo,40.3,39.3,32.0,44.5,32.0,42.2
199,W Illinois,40.3,42.0,49.0,44.5,38.3,37.6
203,Austin Peay,40.4,42.7,51.0,,40.4,38.5
204,New Mexico St,40.5,40.5,40.0,40.5,,37.2
204,Utah,40.5,45.3,42.0,40.5,,38.4
204,Fairfield,40.5,44.3,45.0,44.0,38.8,38.1
204,Texas A&M-CC,40.5,41.7,48.0,,40.5,36.8
208,S Illinois,40.6,39.7,45.0,44.0,39.8,39.6
208,Colorado St,40.6,43.3,42.0,39.3,46.0,36.2
208,Pacific,40.6,43.0,38.0,36.0,41.8,39.6
208,Illinois Chicago,40.6,43.0,46.0,40.0,40.8,37.7
212,Missouri St,40.8,36.7,40.0,43.3,33.0,36.6
212,Penn,40.8,40.3,30.0,33.0,43.3,38.8
212,E Texas A&M,40.8,40.3,27.0,,40.8,39.0
215,Longwood,40.8,40.7,42.0,39.0,43.5,39.2
215,Morgan St,40.8,41.0,45.0,35.0,44.7,43.0
215,Little Rock,40.8,36.7,37.0,,40.8,34.2
218,Portland,40.8,39.0,40.0,38.6,52.0,41.9
218,Tulane,40.8,47.3,43.0,38.0,43.7,37.8
220,Albany,41.0,38.0,27.0,,41.0,38.6
220,Utah Tech,41.0,38.7,38.0,,41.0,39.6
220,St Thomas,41.0,41.0,32.0,41.0,41.0,41.8
220,Queens,41.0,43.3,45.0,42.5,40.3,40.3
220,Georgia St,41.0,43.7,52.0,38.0,41.8,41.7
225,Green Bay,41.1,41.0,39.0,,41.1,42.6
226,UAB,41.2,40.0,38.0,39.0,45.5,41.7
226,Stonehill,41.2,45.3,45.0,45.0,40.4,37.7
228,N Dakota St,41.3,42.7,39.0,37.0,45.5,40.0
229,Arkansas St,41.3,39.7,31.0,31.0,43.4,37.7
229,W Kentucky,41.3,41.3,39.0,40.5,43.0,39.4
231,Kansas City,41.4,33.7,38.0,53.0,38.5,37.0
231,Wagner,41.4,39.0,48.0,,41.4,34.9
231,Grand Canyon,41.4,37.0,41.0,41.8,40.0,38.2
231,Delaware St,41.4,38.7,47.0,,41.4,41.2
235,Princeton,41.5,42.0,48.0,32.0,46.3,36.8
235,Old Dominion,41.5,39.3,40.0,29.5,47.5,37.7
237,Buffalo,41.6,39.7,37.0,45.3,36.0,42.6
238,NJIT,41.7,43.3,52.0,45.0,40.4,38.8
239,Hofstra,41.8,40.3,48.0,,41.8,33.5
239,Vermont,41.8,44.7,39.0,,41.8,34.1
241,Bryant,41.8,42.3,35.0,46.0,41.0,39.1
242,Bucknell,41.9,46.0,36.0,45.5,40.4,36.4
243,Tarleton St,42.0,35.3,36.0,40.0,43.0,36.5
243,Stanford,42.0,39.3,40.0,42.0,,39.1
245,Coppin St,42.1,42.3,47.0,,42.1,38.8
246,Niagara,42.2,48.7,51.0,31.0,44.4,36.9
246,Lindenwood,42.2,37.0,32.0,32.0,44.2,38.5
248,W Carolina,42.2,38.7,49.0,33.5,48.0,40.6
248,Cornell,42.2,39.0,34.0,39.5,44.0,41.3
248,Weber St,42.2,42.3,41.0,44.5,40.7,39.4
251,Lamar,42.3,43.3,49.0,,42.3,33.5
252,Merrimack,42.3,39.7,36.0,38.0,43.2,33.3
253,Vanderbilt,42.4,40.0,41.0,38.8,57.0,40.2
253,Morehead St,42.4,39.7,36.0,,42.4,38.1
255,NW State,42.6,39.7,44.0,,42.6,37.4
255,N Alabama,42.6,40.3,38.0,45.5,40.7,36.8
257,N Arizona,42.7,42.7,41.0,41.0,43.5,36.4
257,Binghamton,42.7,38.7,51.0,45.0,42.2,39.0
257,New Orleans,42.7,43.0,40.0,,42.7,41.4
260,UCF,42.8,39.3,31.0,45.5,37.5,40.9
260,Youngstown St,42.8,41.7,31.0,,42.8,38.6
262,Duquesne,43.0,45.3,52.0,41.0,47.0,36.8
262,Texas A&M,43.0,49.0,41.0,42.8,44.0,35.9
262,UT Rio Grande,43.0,42.7,45.0,,43.0,41.7
262,E Washington,43.0,45.7,47.0,,43.0,41.2
262,San Diego,43.0,45.0,46.0,43.0,,42.5
262,Murray St,43.0,41.7,33.0,40.7,44.8,35.3
262,C Arkansas,43.0,40.7,38.0,38.0,46.3,39.2
269,Iona,43.1,44.0,47.0,42.0,44.0,37.1
270,Colgate,43.2,40.7,38.0,47.0,41.3,37.0
270,Milwaukee,43.2,45.3,47.0,42.0,43.8,37.4
270,South Dakota,43.2,45.0,46.0,41.5,46.5,45.2
273,Saint Joseph's,43.2,47.7,54.0,36.5,47.7,35.4
274,UCSB,43.3,42.3,45.0,42.0,44.5,37.5
275,Charleston So,43.3,46.7,35.0,50.0,42.0,40.5
276,Gardner-Webb,43.4,43.7,40.0,,43.4,40.9
276,Chattanooga,43.4,41.3,31.0,31.0,46.5,37.0
278,S Carolina St,43.5,40.7,38.0,46.0,43.0,37.1
279,Long Beach St,43.6,42.3,43.0,41.5,45.0,38.2
279,Campbell,43.6,43.3,36.0,48.0,42.5,36.7
279,Memphis,43.6,43.0,42.0,45.5,42.3,37.7
282,Miss Valley St,43.7,38.3,47.0,,43.7,44.4
282,UL Monroe,43.7,42.3,43.0,39.0,44.6,39.3
284,Louisiana,43.7,46.3,44.0,34.5,47.4,38.9
285,E Carolina,43.8,42.7,40.0,43.5,44.0,38.2
285,E Illinois,43.8,46.7,52.0,41.0,44.7,38.3
287,CS Bakersfield,43.8,47.7,48.0,37.0,48.3,38.0
287,Stetson,43.8,39.7,42.0,40.5,46.0,42.1
289,Evansville,43.8,44.0,38.0,45.0,43.3,36.7
289,VMI,43.8,46.7,47.0,30.0,46.6,38.1
289,Grambling,43.8,42.7,53.0,40.0,44.6,35.2
292,Alabama,44.0,46.0,50.0,37.0,48.7,44.1
292,Kansas St,44.0,43.7,41.0,45.5,41.0,37.1
292,Kennesaw St,44.0,44.0,42.0,52.0,40.0,38.1
295,Kent St,44.1,40.0,46.0,45.0,42.0,36.4
296,Ohio,44.2,42.0,40.0,44.3,44.0,41.1
297,Prairie View,44.2,40.3,38.0,,44.2,44.1
298,The Citadel,44.3,46.3,35.0,43.0,45.5,37.9
299,Alabama St,44.3,41.3,55.0,,44.3,37.7
299,Denver,44.3,47.3,47.0,47.0,43.8,38.9
301,S Indiana,44.4,46.0,47.0,48.0,43.5,38.6
302,McNeese,44.5,45.3,43.0,46.0,44.0,35.7
303,Bethune,44.6,43.0,39.0,,44.6,37.3
303,S Florida,44.6,44.7,59.0,30.5,54.0,39.4
305,Dartmouth,44.7,44.7,44.0,39.5,55.0,38.3
306,Incarnate Word,44.8,40.7,45.0,,44.8,37.4
307,Lipscomb,44.8,43.0,39.0,39.0,46.3,35.7
308,UNLV,44.8,44.7,47.0,45.0,44.5,37.4
309,NC Central,45.0,42.0,30.0,,45.0,41.3
309,Providence,45.0,42.3,34.0,44.0,46.0,38.0
309,NC Asheville,45.0,46.3,39.0,39.0,47.0,40.0
309,Chicago St,45.0,42.0,53.0,38.0,46.4,42.1
309,Colorado,45.0,44.7,40.0,45.0,,36.3
309,NC Greensboro,45.0,35.0,19.0,39.0,48.0,35.3
315,Troy,45.1,45.0,45.0,,45.1,35.8
316,Bellarmine,45.2,39.7,27.0,43.0,45.8,42.0
317,Idaho,45.3,45.3,49.0,,45.3,42.2
317,W Georgia,45.3,39.0,49.0,44.5,45.8,41.5
317,Rice,45.3,49.3,43.0,45.7,45.0,36.5
320,Wofford,45.6,48.0,43.0,43.0,47.3,38.8
320,E Kentucky,45.6,43.7,49.0,46.0,45.3,38.7
322,Sam Houston,45.7,45.7,38.0,38.0,49.5,40.2
322,Oakland,45.7,43.7,37.0,,45.7,36.6
324,William & Mary,45.8,47.3,40.0,,45.8,41.3
325,SE Missouri St,46.0,45.3,50.0,43.0,47.0,37.5
325,CS Northridge,46.0,48.0,36.0,36.0,49.3,37.7
325,N Colorado,46.0,47.0,60.0,,46.0,39.3
325,Georgia So,46.0,41.7,35.0,51.0,45.0,40.6
325,Middle Tenn,46.0,46.7,43.0,,46.0,37.9
325,Cal Poly,46.0,46.7,41.0,,46.0,42.4
331,Elon,46.2,46.0,30.0,57.0,43.5,34.2
331,Purdue FW,46.2,47.0,47.0,,46.2,40.9
331,Lafayette,46.2,45.3,40.0,51.0,45.0,36.7
331,Nicholls,46.2,47.3,48.0,,46.2,38.0
335,Delaware,46.3,47.0,46.0,44.0,47.0,41.4
335,Mercer,46.3,47.3,45.0,42.0,47.7,40.1
337,Texas So,46.4,39.0,49.0,38.0,48.5,37.8
337,Omaha,46.4,48.3,49.0,47.0,46.3,42.1
339,American,46.5,48.0,47.0,41.0,48.3,36.2
340,FGCU,46.6,42.0,49.0,50.0,41.5,35.5
340,St Francis PA,46.6,41.7,58.0,31.0,50.5,37.3
342,Southern,46.8,45.0,38.0,,46.8,36.0
343,Oral Roberts,46.8,48.7,52.0,42.0,50.0,43.3
344,Alcorn St,46.9,46.0,37.0,,46.9,36.9
345,Florida Intl,47.0,47.0,39.0,39.0,51.0,36.7
346,Utah Valley,47.3,47.3,45.0,45.0,48.5,36.3
347,Rider,47.5,48.3,44.0,,47.5,36.5
348,Army,47.6,44.7,48.0,52.0,44.7,39.5
349,UMass Lowell,47.7,47.3,32.0,43.0,48.6,39.7
349,Tennessee St,47.7,47.7,46.0,,47.7,40.1
351,New Hampshire,47.8,48.7,60.0,,47.8,40.7
351,Florida A&M,47.8,45.3,43.0,44.0,49.0,40.4
353,Portland St,48.0,48.0,48.0,48.0,48.0,36.9
354,Cleveland St,48.2,44.3,49.0,51.0,47.6,36.2
355,Manhattan,48.2,47.7,54.0,,48.2,37.7
356,Radford,48.3,46.7,43.0,47.5,48.6,38.9
357,IU Indy,48.6,44.7,50.0,48.0,48.7,41.0
358,CS Fullerton,48.8,49.0,58.0,41.0,50.4,41.0
359,Montana,49.2,47.3,45.0,50.5,48.3,40.0
360,S Utah,50.2,51.7,44.0,55.0,49.0,38.3
361,F Dickinson,50.4,51.3,46.0,46.0,51.5,39.1
362,Detroit Mercy,50.5,47.7,58.0,42.0,52.2,39.3
363,Jackson St,51.8,57.7,48.0,48.0,52.6,39.7
364,N Florida,53.2,54.0,53.0,,53.2,44.6
365,AR-Pine Bluff,55.0,59.7,55.0,,55.0,45.1
